person,encoder,class,precision,recall,f1,support
ID1,mlp,applause,1.0,1.0,1.0,3
ID1,mlp,circleclockwise,1.0,1.0,1.0,3
ID1,mlp,frontandafter,0.0,0.0,0.0,3
ID1,mlp,leftandright,0.5,1.0,0.6666666666666666,3
ID1,mlp,upanddown,1.0,1.0,1.0,3
ID1,mlp,waveright,0.0,0.0,0.0,3
ID1,cnn,applause,0.0,0.0,0.0,3
ID1,cnn,circleclockwise,0.5,1.0,0.6666666666666666,3
ID1,cnn,frontandafter,0.125,0.3333333333333333,0.18181818181818182,3
ID1,cnn,leftandright,1.0,0.3333333333333333,0.5,3
ID1,cnn,upanddown,0.0,0.0,0.0,3
ID1,cnn,waveright,0.0,0.0,0.0,3
ID1,vit,applause,1.0,0.3333333333333333,0.5,3
ID1,vit,circleclockwise,0.6,1.0,0.75,3
ID1,vit,frontandafter,1.0,1.0,1.0,3
ID1,vit,leftandright,1.0,1.0,1.0,3
ID1,vit,upanddown,1.0,1.0,1.0,3
ID1,vit,waveright,1.0,1.0,1.0,3
ID2,mlp,applause,1.0,1.0,1.0,3
ID2,mlp,circleclockwise,0.6,1.0,0.75,3
ID2,mlp,frontandafter,1.0,0.3333333333333333,0.5,3
ID2,mlp,leftandright,1.0,1.0,1.0,3
ID2,mlp,upanddown,1.0,0.3333333333333333,0.5,3
ID2,mlp,waveright,0.6,1.0,0.75,3
ID2,cnn,applause,1.0,0.6666666666666666,0.8,3
ID2,cnn,circleclockwise,1.0,1.0,1.0,3
ID2,cnn,frontandafter,1.0,1.0,1.0,3
ID2,cnn,leftandright,1.0,1.0,1.0,3
ID2,cnn,upanddown,1.0,1.0,1.0,3
ID2,cnn,waveright,0.75,1.0,0.8571428571428571,3
ID2,vit,applause,0.6,1.0,0.75,3
ID2,vit,circleclockwise,0.0,0.0,0.0,3
ID2,vit,frontandafter,0.0,0.0,0.0,3
ID2,vit,leftandright,0.42857142857142855,1.0,0.6,3
ID2,vit,upanddown,0.0,0.0,0.0,3
ID2,vit,waveright,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
ID3,mlp,applause,1.0,1.0,1.0,3
ID3,mlp,circleclockwise,0.0,0.0,0.0,3
ID3,mlp,frontandafter,1.0,1.0,1.0,3
ID3,mlp,leftandright,1.0,1.0,1.0,3
ID3,mlp,upanddown,1.0,1.0,1.0,3
ID3,mlp,waveright,0.5,1.0,0.6666666666666666,3
ID3,cnn,applause,0.0,0.0,0.0,3
ID3,cnn,circleclockwise,0.0,0.0,0.0,3
ID3,cnn,frontandafter,0.0,0.0,0.0,3
ID3,cnn,leftandright,0.0,0.0,0.0,3
ID3,cnn,upanddown,0.2,1.0,0.3333333333333333,3
ID3,cnn,waveright,0.0,0.0,0.0,3
ID3,vit,applause,0.0,0.0,0.0,3
ID3,vit,circleclockwise,0.0,0.0,0.0,3
ID3,vit,frontandafter,1.0,1.0,1.0,3
ID3,vit,leftandright,0.0,0.0,0.0,3
ID3,vit,upanddown,0.0,0.0,0.0,3
ID3,vit,waveright,0.2,1.0,0.3333333333333333,3
ID4,mlp,applause,1.0,1.0,1.0,3
ID4,mlp,circleclockwise,1.0,1.0,1.0,3
ID4,mlp,frontandafter,1.0,1.0,1.0,3
ID4,mlp,leftandright,1.0,1.0,1.0,3
ID4,mlp,upanddown,1.0,1.0,1.0,3
ID4,mlp,waveright,1.0,1.0,1.0,3
ID4,cnn,applause,0.42857142857142855,1.0,0.6,3
ID4,cnn,circleclockwise,0.0,0.0,0.0,3
ID4,cnn,frontandafter,0.75,1.0,0.8571428571428571,3
ID4,cnn,leftandright,0.0,0.0,0.0,3
ID4,cnn,upanddown,0.75,1.0,0.8571428571428571,3
ID4,cnn,waveright,1.0,1.0,1.0,3
ID4,vit,applause,0.0,0.0,0.0,3
ID4,vit,circleclockwise,0.0,0.0,0.0,3
ID4,vit,frontandafter,0.5,1.0,0.6666666666666666,3
ID4,vit,leftandright,0.0,0.0,0.0,3
ID4,vit,upanddown,0.0,0.0,0.0,3
ID4,vit,waveright,0.25,1.0,0.4,3
ID5,mlp,applause,1.0,0.6666666666666666,0.8,3
ID5,mlp,circleclockwise,1.0,0.6666666666666666,0.8,3
ID5,mlp,frontandafter,0.6,1.0,0.75,3
ID5,mlp,leftandright,1.0,1.0,1.0,3
ID5,mlp,upanddown,1.0,1.0,1.0,3
ID5,mlp,waveright,0.0,0.0,0.0,0
ID5,cnn,applause,1.0,1.0,1.0,3
ID5,cnn,circleclockwise,0.0,0.0,0.0,3
ID5,cnn,frontandafter,0.5,1.0,0.6666666666666666,3
ID5,cnn,leftandright,1.0,0.6666666666666666,0.8,3
ID5,cnn,upanddown,1.0,1.0,1.0,3
ID5,cnn,waveright,0.0,0.0,0.0,0
ID5,vit,applause,1.0,1.0,1.0,3
ID5,vit,circleclockwise,0.6,1.0,0.75,3
ID5,vit,frontandafter,1.0,1.0,1.0,3
ID5,vit,leftandright,1.0,1.0,1.0,3
ID5,vit,upanddown,1.0,0.3333333333333333,0.5,3
ID5,vit,waveright,0.0,0.0,0.0,0
ID6,mlp,applause,1.0,1.0,1.0,3
ID6,mlp,circleclockwise,1.0,1.0,1.0,3
ID6,mlp,frontandafter,1.0,1.0,1.0,3
ID6,mlp,leftandright,1.0,1.0,1.0,3
ID6,mlp,upanddown,1.0,1.0,1.0,3
ID6,mlp,waveright,1.0,1.0,1.0,3
ID6,cnn,applause,0.5,1.0,0.6666666666666666,3
ID6,cnn,circleclockwise,0.0,0.0,0.0,3
ID6,cnn,frontandafter,0.5,1.0,0.6666666666666666,3
ID6,cnn,leftandright,1.0,1.0,1.0,3
ID6,cnn,upanddown,0.0,0.0,0.0,3
ID6,cnn,waveright,1.0,0.6666666666666666,0.8,3
ID6,vit,applause,0.75,1.0,0.8571428571428571,3
ID6,vit,circleclockwise,1.0,1.0,1.0,3
ID6,vit,frontandafter,0.5,1.0,0.6666666666666666,3
