person,encoder,accuracy,macro_precision,macro_recall,macro_f1
ID1,mlp,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.611111111111111
ID1,cnn,0.2777777777777778,0.2708333333333333,0.27777777777777773,0.22474747474747472
ID1,vit,0.8888888888888888,0.9333333333333332,0.8888888888888888,0.875
ID2,mlp,0.7777777777777778,0.8666666666666666,0.7777777777777778,0.75
ID2,cnn,0.9444444444444444,0.9583333333333334,0.9444444444444443,0.9428571428571427
ID2,vit,0.4444444444444444,0.2825396825396825,0.4444444444444444,0.3361111111111111
ID3,mlp,0.8333333333333334,0.75,0.8333333333333334,0.7777777777777778
ID3,cnn,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.05555555555555555
ID3,vit,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.2222222222222222
ID4,mlp,1.0,1.0,1.0,1.0
ID4,cnn,0.6666666666666666,0.48809523809523814,0.6666666666666666,0.5523809523809523
ID4,vit,0.3333333333333333,0.125,0.3333333333333333,0.17777777777777778
ID5,mlp,0.8666666666666667,0.7666666666666666,0.7222222222222222,0.725
ID5,cnn,0.7333333333333333,0.5833333333333334,0.611111111111111,0.5777777777777778
ID5,vit,0.8666666666666667,0.7666666666666666,0.7222222222222222,0.7083333333333334
ID6,mlp,1.0,1.0,1.0,1.0
ID6,cnn,0.6111111111111112,0.5,0.611111111111111,0.5222222222222221
ID6,vit,0.7777777777777778,0.7083333333333334,0.7777777777777778,0.7206349206349206
ID7,mlp,1.0,1.0,1.0,1.0
ID7,cnn,0.8333333333333334,0.75,0.8333333333333334,0.7777777777777777
ID7,vit,0.7222222222222222,0.6833333333333332,0.7222222222222223,0.6527777777777778
ID8,mlp,1.0,1.0,1.0,1.0
ID8,cnn,0.5,0.4166666666666667,0.5,0.4444444444444444
ID8,vit,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5833333333333334
