model,learning_rate,dropout,accuracy_single,fscore_single,accuracy_decision_fusion,fscore_decision_fusion
cnn_bilstm,0.0001,0.2,0.44994777158774374,0.3098801528712703,0.40807799442896936,0.26333848732261067
cnn_bilstm,0.0001,0.3,0.522458217270195,0.45960509304517333,0.7461699164345403,0.6876374479410532
cnn_bilstm,0.0001,0.4,0.5187151810584958,0.4513176562418015,0.5860027855153204,0.4808428435281515
cnn_bilstm,0.0003,0.2,0.5859157381615598,0.5396815782231009,0.7761142061281338,0.7183297324042528
cnn_bilstm,0.0003,0.3,0.671483286908078,0.6471079161249161,0.83008356545961,0.803420293201732
cnn_bilstm,0.0003,0.4,0.5516190807799443,0.48275577116792634,0.6862813370473537,0.6160589796696521
vit,0.0001,0.2,0.5399547353760445,0.4869577704439186,0.5933147632311978,0.4961317408401663
vit,0.0001,0.3,0.48372214484679665,0.47263728494781365,0.5188022284122563,0.480571874396347
vit,0.0001,0.4,0.5513579387186629,0.5208006846786397,0.5786908077994429,0.4703881692129663
vit,0.0003,0.2,0.5383008356545961,0.5229824136823921,0.6055013927576601,0.553780003812775
vit,0.0003,0.3,0.5236768802228412,0.5051469695158596,0.7221448467966574,0.6763208712188232
vit,0.0003,0.4,0.5660689415041783,0.5465793388972098,0.6612116991643454,0.6066086305538992
bilstm,0.0001,0.2,0.6123781337047354,0.5672167870399216,0.7200557103064067,0.6995797128500245
bilstm,0.0001,0.3,0.7090006963788301,0.662114352044769,0.8098885793871866,0.7825730041015322
bilstm,0.0001,0.4,0.7360724233983287,0.7145466720014207,0.8151114206128134,0.7916954649691619
bilstm,0.0003,0.2,0.5809540389972145,0.5216717742924895,0.6796657381615598,0.6274664288370175
bilstm,0.0003,0.3,0.5809540389972145,0.5389570554867542,0.6037604456824512,0.5180510308699372
bilstm,0.0003,0.4,0.5158426183844012,0.46249815953973006,0.6215181058495822,0.552129447254838
lstm,0.0001,0.2,0.647458217270195,0.6068914084825285,0.6807103064066853,0.6615962507036706
lstm,0.0001,0.3,0.6106371866295265,0.5927863840770607,0.7346796657381616,0.7339921420319192
lstm,0.0001,0.4,0.46004526462395545,0.31776563617516407,0.4571727019498607,0.31248006552460517
lstm,0.0003,0.2,0.4492513927576602,0.30815261511434305,0.443941504178273,0.28809247580004194
lstm,0.0003,0.3,0.4171309192200557,0.23689292967478198,0.5041782729805014,0.3804752071242281
lstm,0.0003,0.4,0.5779944289693594,0.5055654872291508,0.5807799442896936,0.4813948428207409
rcnn,0.0001,0.2,0.5846100278551533,0.5396617202558828,0.6110724233983287,0.5073491189276648
rcnn,0.0001,0.3,0.4962569637883008,0.4341353805210398,0.6605153203342619,0.5970997001084808
rcnn,0.0001,0.4,0.6784470752089137,0.6833093374037734,0.7458217270194986,0.7209107805252236
rcnn,0.0003,0.2,0.713091922005571,0.6903760300215551,0.8241643454038997,0.805229865622899
rcnn,0.0003,0.3,0.7381615598885793,0.7162474869618844,0.7809888579387186,0.728281733164513
rcnn,0.0003,0.4,0.7130048746518106,0.6545923868324026,0.7903899721448467,0.7466246189741675
