model,accuracy_single,fscore_single,accuracy_decision_fusion,fscore_decision_fusion,fscore_E,fscore_L,fscore_W,fscore_R,fscore_J
cnn_bilstm,0.7274,0.7272,0.9412,0.9407,0.8364,0.8672,1.0,1.0,1.0
bilstm,0.6981,0.692,0.9032,0.9064,0.9842,0.9827,0.7598,0.8394,0.966
random_forest,0.4888,0.4494,0.7907,0.7295,0.0,0.6475,1.0,1.0,1.0
cnn,0.509,0.4847,0.7552,0.693,0.0,0.6456,0.9141,0.996,0.9093
rcnn,0.5937,0.5689,0.6539,0.5879,0.7372,0.3971,0.128,0.6882,0.9888
lstm,0.6542,0.5879,0.6278,0.5451,0.9899,0.9892,0.0571,0.6333,0.056
naive_bayes,0.5534,0.5278,0.6271,0.564,0.77,0.4465,0.1699,0.759,0.6745
vit,0.5601,0.5175,0.6142,0.5276,0.2755,0.6861,0.0352,0.692,0.9492
svm,0.5306,0.4703,0.6069,0.5501,0.6872,0.0171,0.4903,0.6153,0.9404
gradient_boosting,0.4894,0.4482,0.5999,0.5447,0.023,0.6486,0.5063,0.6889,0.8565
knn,0.4681,0.4279,0.571,0.5244,0.0635,0.6079,0.5992,0.6892,0.6624
